"sex","age_cat","race","priors_count","c_charge_degree","length_of_stay","two_year_recid"
"Female","> 45","Caucasian",2,"M",0,"0"
"Male","< 25","Caucasian",4,"F",14,"1"
"Male","25 - 45","Caucasian",6,"F",0,"0"
"Female","25 - 45","Caucasian",2,"F",3,"0"
"Male","25 - 45","Caucasian",1,"M",4,"0"
"Male","25 - 45","Caucasian",0,"M",1,"1"
"Female","< 25","African-American",0,"M",2,"0"
"Female","25 - 45","Caucasian",10,"F",7,"1"
"Male","25 - 45","Caucasian",2,"M",0,"1"
"Male","25 - 45","African-American",3,"F",8,"1"
"Male","25 - 45","Caucasian",2,"M",15,"1"
"Male","25 - 45","African-American",1,"M",1,"0"
"Male","> 45","Caucasian",1,"F",1,"1"
"Female","< 25","African-American",1,"F",3,"0"
"Female","25 - 45","Caucasian",0,"M",1,"0"
"Male","25 - 45","African-American",9,"F",13,"1"
"Male","25 - 45","African-American",11,"F",1,"1"
"Male","25 - 45","African-American",8,"M",1,"1"
"Female","25 - 45","African-American",0,"F",2,"1"
"Female","25 - 45","African-American",7,"F",26,"1"
"Male","25 - 45","African-American",2,"F",1,"1"
"Female","< 25","African-American",0,"F",0,"0"
"Female","25 - 45","Caucasian",0,"M",1,"0"
"Female","> 45","African-American",1,"F",1,"1"
"Female","25 - 45","African-American",4,"F",7,"1"
"Female","25 - 45","African-American",2,"M",1,"1"
"Male","> 45","African-American",3,"M",1,"0"
"Male","25 - 45","Caucasian",1,"M",4,"0"
"Female","25 - 45","Caucasian",3,"F",530,"1"
"Male","25 - 45","African-American",1,"F",70,"0"
"Male","> 45","Caucasian",2,"M",1,"0"
"Male","< 25","African-American",1,"F",1,"0"
"Male","> 45","Caucasian",6,"F",23,"1"
"Female","> 45","Caucasian",6,"F",5,"0"
"Male","25 - 45","Caucasian",0,"F",2,"0"
"Male","25 - 45","African-American",1,"M",2,"1"
"Female","25 - 45","African-American",5,"F",1,"0"
"Male","> 45","African-American",8,"F",16,"0"
"Female","25 - 45","Caucasian",6,"F",106,"0"
"Male","> 45","Caucasian",1,"F",18,"0"
"Male","25 - 45","African-American",6,"M",1,"1"
"Male","> 45","Caucasian",1,"M",1,"1"
"Male","> 45","Caucasian",0,"F",1,"0"
"Male","25 - 45","African-American",22,"F",34,"1"
"Male","< 25","African-American",1,"F",0,"1"
"Male","> 45","African-American",23,"M",1,"1"
"Male","< 25","African-American",0,"M",1,"1"
"Female","25 - 45","Caucasian",2,"F",1,"1"
"Male","> 45","African-American",3,"F",2,"0"
"Male","> 45","Caucasian",8,"M",71,"1"
"Male","25 - 45","African-American",13,"F",97,"1"
"Male","25 - 45","African-American",2,"M",0,"1"
"Male","25 - 45","Caucasian",0,"F",1,"1"
"Male","25 - 45","African-American",9,"F",79,"1"
"Male","> 45","Caucasian",2,"F",359,"0"
"Male","< 25","African-American",0,"F",1,"1"
"Male","25 - 45","African-American",2,"M",26,"0"
"Female","< 25","African-American",1,"M",1,"0"
"Male","> 45","Caucasian",1,"F",2,"0"
"Female","25 - 45","Caucasian",0,"M",0,"0"
"Male","25 - 45","Caucasian",4,"M",1,"0"
"Female","25 - 45","African-American",23,"F",2,"1"
"Male","25 - 45","African-American",2,"F",1,"1"
"Male","25 - 45","African-American",0,"M",3,"0"
"Female","25 - 45","African-American",0,"F",29,"0"
"Male","25 - 45","Caucasian",11,"F",121,"1"
"Female","25 - 45","Caucasian",7,"F",1,"1"
"Male","25 - 45","African-American",2,"F",1,"0"
"Male","25 - 45","Caucasian",2,"M",36,"0"
"Female","25 - 45","African-American",1,"F",39,"0"
"Male","> 45","Caucasian",7,"F",1,"1"
"Male","25 - 45","African-American",15,"F",2,"0"
"Male","25 - 45","African-American",2,"M",1,"0"
"Male","> 45","African-American",3,"F",219,"0"
"Male","> 45","Caucasian",1,"F",1,"0"
"Female","> 45","Caucasian",0,"M",1,"1"
"Male","> 45","Caucasian",0,"M",1,"0"
"Male","> 45","African-American",0,"F",1,"0"
"Male","25 - 45","Caucasian",4,"F",2,"1"
"Female","25 - 45","African-American",2,"F",3,"0"
"Female","25 - 45","African-American",5,"M",0,"0"
"Male","25 - 45","African-American",11,"F",223,"1"
"Male","25 - 45","African-American",0,"M",2,"0"
"Male","> 45","African-American",11,"F",130,"0"
"Male","< 25","African-American",2,"F",72,"0"
"Female","25 - 45","African-American",2,"F",227,"1"
"Male","25 - 45","African-American",0,"M",1,"0"
"Male","> 45","Caucasian",0,"F",1,"0"
"Male","25 - 45","Caucasian",13,"F",51,"1"
"Male","> 45","African-American",0,"F",14,"0"
"Male","25 - 45","Caucasian",1,"F",3,"0"
"Male","25 - 45","African-American",11,"M",1,"1"
"Male","25 - 45","Caucasian",1,"F",6,"0"
"Male","< 25","African-American",0,"F",1,"0"
"Male","25 - 45","African-American",4,"F",0,"0"
"Male","25 - 45","Caucasian",0,"F",31,"1"
"Male","25 - 45","Caucasian",0,"F",35,"1"
"Male","25 - 45","African-American",14,"F",1,"0"
"Male","25 - 45","African-American",4,"M",76,"0"
"Male","> 45","Caucasian",1,"M",1,"0"
"Male","25 - 45","African-American",25,"F",26,"1"
"Male","25 - 45","Caucasian",8,"M",5,"1"
"Male","25 - 45","African-American",0,"F",0,"0"
"Male","< 25","Caucasian",1,"M",6,"1"
"Male","25 - 45","Caucasian",8,"F",22,"1"
"Male","25 - 45","Caucasian",4,"F",62,"0"
"Male","< 25","African-American",3,"M",1,"1"
"Female","< 25","Caucasian",1,"M",29,"1"
"Male","25 - 45","African-American",3,"M",7,"1"
"Female","< 25","Caucasian",5,"F",1,"1"
"Male","25 - 45","African-American",1,"M",1,"0"
"Male","< 25","African-American",1,"F",1,"1"
"Male","25 - 45","African-American",2,"F",2,"1"
"Male","25 - 45","African-American",4,"F",1,"0"
"Male","25 - 45","Caucasian",2,"M",11,"0"
"Female","25 - 45","African-American",2,"F",1,"0"
"Male","< 25","African-American",0,"F",3,"0"
"Female","> 45","African-American",0,"F",1,"0"
"Female","< 25","African-American",0,"F",4,"1"
"Female","> 45","African-American",0,"F",2,"0"
"Male","25 - 45","Caucasian",0,"F",0,"0"
"Male","25 - 45","Caucasian",0,"F",2,"1"
"Male","25 - 45","African-American",11,"F",1,"1"
"Male","< 25","African-American",3,"M",1,"1"
"Female","< 25","Caucasian",1,"F",1,"0"
"Male","25 - 45","Caucasian",2,"F",40,"0"
"Female","25 - 45","African-American",2,"M",1,"0"
"Male","25 - 45","African-American",24,"M",118,"0"
"Male","> 45","African-American",3,"F",25,"1"
"Male","25 - 45","African-American",0,"F",41,"0"
"Male","25 - 45","Caucasian",3,"F",3,"0"
"Male","25 - 45","African-American",3,"M",3,"1"
"Male","> 45","Caucasian",1,"M",13,"0"
"Male","> 45","Caucasian",6,"F",1,"1"
"Male","> 45","Caucasian",3,"F",14,"0"
"Male","< 25","African-American",0,"M",1,"1"
"Male","25 - 45","African-American",1,"M",2,"1"
"Male","25 - 45","Caucasian",5,"M",1,"0"
"Male","< 25","African-American",1,"F",48,"1"
"Male","25 - 45","African-American",5,"M",1,"0"
"Male","< 25","Caucasian",0,"F",1,"1"
"Male","25 - 45","African-American",5,"F",3,"1"
"Male","25 - 45","African-American",2,"F",83,"0"
"Male","25 - 45","African-American",6,"F",3,"1"
"Male","25 - 45","Caucasian",1,"M",0,"1"
"Male","> 45","Caucasian",2,"F",2,"0"
"Female","< 25","African-American",0,"M",1,"0"
"Male","< 25","African-American",1,"F",36,"0"
"Male","< 25","African-American",4,"M",11,"1"
"Male","> 45","Caucasian",0,"F",2,"0"
"Male","25 - 45","African-American",4,"M",1,"1"
"Male","25 - 45","Caucasian",5,"F",11,"0"
"Female","25 - 45","African-American",5,"F",0,"0"
"Male","25 - 45","African-American",0,"M",1,"0"
"Male","25 - 45","Caucasian",0,"M",1,"1"
"Male","25 - 45","Caucasian",3,"M",1,"1"
"Female","25 - 45","Caucasian",0,"F",1,"0"
"Male","25 - 45","African-American",0,"F",17,"0"
"Male","< 25","African-American",0,"F",1,"1"
"Female","> 45","Caucasian",0,"M",1,"0"
"Male","> 45","Caucasian",0,"M",1,"0"
"Male","25 - 45","African-American",7,"F",1,"0"
"Male","< 25","African-American",0,"F",210,"1"
"Male","> 45","Caucasian",6,"F",174,"0"
"Male","25 - 45","Caucasian",8,"F",68,"0"
"Male","< 25","African-American",2,"F",19,"1"
"Male","> 45","Caucasian",36,"F",33,"1"
"Male","25 - 45","Caucasian",2,"M",1,"1"
"Female","25 - 45","African-American",0,"F",12,"0"
"Female","25 - 45","Caucasian",2,"M",1,"1"
"Male","25 - 45","Caucasian",1,"F",1,"0"
"Female","< 25","African-American",0,"F",1,"1"
"Male","25 - 45","Caucasian",0,"M",1,"0"
"Male","< 25","African-American",0,"F",1,"0"
"Male","25 - 45","African-American",3,"F",32,"1"
"Male","25 - 45","African-American",0,"F",1,"0"
"Female","25 - 45","Caucasian",0,"M",4,"0"
"Female","25 - 45","African-American",2,"F",2,"0"
"Male","25 - 45","African-American",12,"F",2,"1"
"Male","< 25","African-American",1,"F",1,"0"
"Male","> 45","African-American",3,"F",0,"0"
"Male","25 - 45","Caucasian",0,"F",19,"0"
"Male","< 25","African-American",2,"F",1,"1"
"Female","< 25","Caucasian",0,"F",0,"0"
"Male","> 45","Caucasian",0,"M",1,"0"
"Male","< 25","Caucasian",2,"F",2,"0"
"Male","25 - 45","African-American",6,"M",4,"1"
"Male","< 25","Caucasian",0,"F",0,"0"
"Female","< 25","African-American",0,"F",1,"1"
"Male","> 45","African-American",3,"F",4,"0"
"Male","25 - 45","African-American",2,"M",51,"0"
"Female","> 45","Caucasian",0,"M",1,"0"
"Male","< 25","African-American",3,"F",0,"1"
"Male","25 - 45","Caucasian",0,"F",2,"0"
"Male","< 25","African-American",1,"F",0,"0"
"Male","< 25","Caucasian",2,"M",1,"1"
"Male","< 25","African-American",4,"F",220,"1"
"Male","< 25","African-American",0,"F",12,"1"
"Male","25 - 45","Caucasian",1,"M",0,"0"
"Female","> 45","Caucasian",1,"M",1,"1"
"Male","25 - 45","Caucasian",0,"F",8,"1"
"Male","25 - 45","African-American",7,"F",127,"1"
"Female","> 45","Caucasian",1,"M",1,"0"
"Female","< 25","African-American",0,"F",1,"0"
"Male","25 - 45","African-American",1,"F",4,"0"
"Male","25 - 45","African-American",1,"M",2,"0"
"Male","< 25","Caucasian",1,"M",36,"0"
"Male","25 - 45","African-American",6,"F",1,"1"
"Male","< 25","African-American",4,"F",260,"1"
"Male","< 25","Caucasian",3,"M",6,"0"
"Male","25 - 45","African-American",23,"F",17,"1"
"Male","25 - 45","African-American",2,"F",5,"0"
"Male","> 45","African-American",2,"F",1,"0"
"Male","25 - 45","African-American",7,"F",1,"0"
"Male","> 45","Caucasian",23,"F",361,"1"
"Female","> 45","Caucasian",0,"M",0,"0"
"Male","25 - 45","African-American",12,"F",32,"1"
"Male","25 - 45","African-American",5,"F",51,"0"
"Male","25 - 45","Caucasian",3,"M",0,"0"
"Male","> 45","Caucasian",5,"F",291,"1"
"Male","25 - 45","African-American",14,"F",1,"1"
"Male","25 - 45","African-American",2,"F",2,"0"
"Male","< 25","African-American",0,"M",21,"1"
"Male","25 - 45","African-American",6,"F",0,"0"
"Male","25 - 45","Caucasian",0,"F",0,"0"
"Male","> 45","Caucasian",2,"F",1,"0"
"Male","> 45","African-American",5,"F",12,"0"
"Male","25 - 45","African-American",9,"F",52,"1"
"Male","> 45","Caucasian",4,"F",7,"1"
"Male","25 - 45","African-American",3,"F",1,"0"
"Female","25 - 45","Caucasian",0,"M",1,"0"
"Male","> 45","Caucasian",0,"M",1,"0"
"Female","< 25","African-American",0,"F",0,"0"
"Female","25 - 45","African-American",1,"F",1,"1"
"Male","> 45","African-American",11,"F",110,"0"
"Male","25 - 45","Caucasian",0,"M",0,"1"
"Male","< 25","Caucasian",0,"F",2,"0"
"Female","> 45","Caucasian",2,"M",1,"0"
"Male","25 - 45","African-American",7,"M",1,"1"
"Male","< 25","Caucasian",1,"F",1,"1"
"Male","25 - 45","African-American",8,"F",3,"1"
"Male","< 25","African-American",0,"F",1,"1"
"Male","25 - 45","Caucasian",0,"M",5,"1"
"Male","25 - 45","African-American",8,"F",88,"0"
"Male","> 45","African-American",21,"M",59,"1"
"Male","< 25","African-American",3,"F",106,"0"
"Male","25 - 45","Caucasian",0,"F",0,"0"
"Male","> 45","African-American",1,"F",26,"1"
"Male","25 - 45","Caucasian",3,"M",0,"0"
"Male","25 - 45","African-American",3,"F",33,"0"
"Male","< 25","Caucasian",3,"F",0,"1"
"Male","25 - 45","Caucasian",0,"F",1,"0"
"Male","25 - 45","African-American",2,"F",1,"0"
"Female","< 25","African-American",3,"F",1,"1"
"Male","< 25","Caucasian",1,"F",32,"1"
"Male","25 - 45","Caucasian",2,"M",1,"0"
"Female","< 25","Caucasian",0,"F",0,"0"
"Male","25 - 45","Caucasian",0,"M",0,"0"
"Male","< 25","African-American",1,"F",1,"1"
"Male","< 25","African-American",1,"M",2,"1"
"Male","> 45","Caucasian",4,"F",2,"0"
"Female","> 45","African-American",3,"F",0,"0"
"Male","25 - 45","African-American",1,"M",4,"0"
"Male","25 - 45","African-American",5,"F",1,"0"
"Male","< 25","Caucasian",0,"M",1,"0"
"Male","> 45","African-American",16,"F",65,"0"
"Female","> 45","African-American",2,"F",10,"1"
"Male","25 - 45","Caucasian",0,"M",4,"1"
"Male","25 - 45","African-American",13,"M",1,"1"
"Female","> 45","African-American",16,"F",66,"0"
"Male","25 - 45","African-American",1,"M",13,"1"
"Male","25 - 45","African-American",3,"F",1,"1"
"Male","> 45","Caucasian",6,"F",2,"1"
"Male","25 - 45","Caucasian",1,"F",4,"1"
"Male","> 45","African-American",5,"F",119,"1"
"Male","25 - 45","African-American",10,"F",1,"1"
"Male","25 - 45","African-American",5,"F",1,"0"
"Male","> 45","Caucasian",2,"F",3,"0"
"Male","25 - 45","African-American",0,"F",1,"0"
"Male","< 25","African-American",6,"F",1,"0"
"Male","> 45","African-American",28,"F",6,"1"
"Male","25 - 45","African-American",8,"F",10,"1"
"Female","< 25","African-American",6,"F",26,"1"
"Male","> 45","African-American",2,"M",1,"0"
"Male","> 45","African-American",12,"M",4,"1"
"Male","< 25","Caucasian",1,"M",0,"1"
"Male","25 - 45","African-American",1,"M",1,"0"
"Male","< 25","African-American",1,"F",2,"1"
"Male","> 45","Caucasian",0,"F",35,"0"
"Male","25 - 45","Caucasian",3,"F",7,"0"
"Male","> 45","Caucasian",3,"F",1,"0"
"Male","25 - 45","Caucasian",4,"F",1,"1"
"Male","> 45","Caucasian",0,"F",1,"0"
"Male","> 45","Caucasian",1,"F",0,"1"
"Female","< 25","Caucasian",6,"F",3,"1"
"Male","< 25","Caucasian",2,"M",9,"1"
"Male","25 - 45","African-American",1,"F",1,"0"
"Female","25 - 45","Caucasian",0,"M",1,"0"
"Male","25 - 45","Caucasian",6,"F",18,"1"
"Male","25 - 45","Caucasian",0,"M",1,"1"
"Male","> 45","African-American",0,"M",1,"0"
"Male","25 - 45","African-American",4,"F",8,"1"
"Female","> 45","Caucasian",0,"M",1,"0"
"Male","25 - 45","African-American",0,"F",1,"0"
"Male","25 - 45","African-American",4,"F",26,"1"
"Male","25 - 45","Caucasian",1,"M",1,"1"
"Male","> 45","African-American",33,"F",14,"1"
"Male","25 - 45","Caucasian",2,"F",0,"0"
"Male","> 45","Caucasian",1,"M",1,"0"
"Male","25 - 45","Caucasian",1,"F",74,"0"
"Male","> 45","Caucasian",4,"M",1,"0"
"Female","25 - 45","African-American",12,"M",0,"0"
"Female","25 - 45","African-American",0,"M",1,"0"
"Female","> 45","Caucasian",0,"M",1,"0"
"Male","25 - 45","African-American",2,"M",0,"0"
"Female","25 - 45","African-American",6,"F",52,"0"
"Male","> 45","African-American",10,"F",127,"1"
"Male","25 - 45","African-American",5,"F",2,"1"
"Male","< 25","Caucasian",0,"F",1,"0"
"Male","> 45","Caucasian",1,"F",129,"1"
"Male","> 45","African-American",0,"M",45,"1"
"Male","> 45","African-American",4,"M",1,"0"
"Male","< 25","African-American",0,"F",0,"1"
"Male","25 - 45","Caucasian",4,"F",5,"1"
"Male","< 25","Caucasian",0,"F",15,"0"
"Male","< 25","Caucasian",0,"M",1,"0"
"Male","25 - 45","Caucasian",6,"F",1,"0"
"Male","25 - 45","African-American",1,"M",1,"1"
"Male","25 - 45","African-American",0,"F",0,"0"
"Male","25 - 45","African-American",6,"F",4,"1"
"Male","25 - 45","Caucasian",1,"F",1,"1"
"Male","< 25","Caucasian",0,"F",0,"1"
"Male","25 - 45","Caucasian",0,"F",0,"0"
"Male","25 - 45","African-American",0,"F",2,"0"
"Male","25 - 45","African-American",14,"F",2,"1"
"Male","< 25","Caucasian",9,"M",10,"1"
"Male","< 25","Caucasian",6,"F",62,"1"
"Male","> 45","Caucasian",1,"M",0,"0"
"Male","25 - 45","African-American",5,"F",1,"1"
"Male","> 45","Caucasian",2,"F",1,"1"
"Male","25 - 45","African-American",1,"M",0,"0"
"Male","< 25","Caucasian",2,"F",1,"0"
"Male","25 - 45","African-American",8,"F",2,"0"
"Male","> 45","African-American",6,"F",144,"0"
"Male","25 - 45","African-American",3,"F",2,"0"
"Male","25 - 45","African-American",3,"F",3,"1"
"Male","< 25","African-American",3,"F",0,"1"
"Male","> 45","Caucasian",1,"M",6,"0"
"Male","< 25","African-American",3,"F",8,"1"
"Male","> 45","African-American",3,"M",1,"0"
"Male","25 - 45","African-American",0,"F",10,"0"
"Male","25 - 45","Caucasian",1,"F",6,"0"
"Male","25 - 45","African-American",16,"F",1,"1"
"Female","25 - 45","African-American",0,"M",1,"0"
"Male","< 25","African-American",1,"F",0,"0"
"Male","25 - 45","Caucasian",2,"F",12,"1"
"Male","25 - 45","Caucasian",5,"F",0,"0"
"Male","25 - 45","African-American",5,"M",64,"1"
"Male","25 - 45","Caucasian",11,"M",180,"0"
"Female","25 - 45","African-American",6,"F",1,"1"
"Male","25 - 45","Caucasian",0,"M",0,"0"
"Male","25 - 45","African-American",15,"F",0,"0"
"Female","25 - 45","African-American",0,"M",1,"0"
"Female","> 45","Caucasian",2,"M",0,"1"
"Male","> 45","Caucasian",5,"F",1,"1"
"Male","25 - 45","Caucasian",8,"F",31,"1"
"Male","> 45","Caucasian",0,"M",1,"1"
"Female","> 45","Caucasian",0,"M",1,"0"
"Male","25 - 45","African-American",5,"F",1,"1"
"Female","< 25","Caucasian",0,"M",0,"0"
"Male","< 25","Caucasian",1,"M",10,"0"
"Male","< 25","African-American",10,"F",17,"1"
"Male","< 25","African-American",4,"F",118,"1"
"Male","25 - 45","African-American",4,"F",52,"0"
"Male","25 - 45","African-American",0,"M",1,"0"
"Female","< 25","Caucasian",0,"F",2,"0"
"Male","25 - 45","African-American",0,"M",1,"0"
"Female","< 25","Caucasian",0,"F",1,"0"
"Male","< 25","African-American",1,"F",1,"0"
"Male","25 - 45","African-American",3,"M",20,"1"
"Male","25 - 45","African-American",3,"M",6,"1"
"Male","> 45","African-American",17,"F",58,"1"
"Male","25 - 45","African-American",0,"F",1,"0"
"Male","< 25","African-American",11,"F",0,"1"
"Female","25 - 45","African-American",1,"F",1,"0"
"Male","25 - 45","African-American",1,"M",1,"0"
"Male","25 - 45","Caucasian",6,"F",34,"1"
"Female","> 45","Caucasian",0,"M",0,"0"
"Male","25 - 45","Caucasian",2,"M",1,"0"
"Male","25 - 45","African-American",5,"M",1,"1"
"Male","25 - 45","Caucasian",0,"F",0,"0"
"Male","< 25","African-American",0,"F",1,"1"
"Male","25 - 45","African-American",4,"F",32,"1"
"Male","> 45","Caucasian",0,"M",0,"0"
"Male","25 - 45","Caucasian",2,"M",25,"1"
"Male","25 - 45","African-American",10,"F",0,"0"
"Male","> 45","African-American",9,"M",4,"1"
"Female","< 25","Caucasian",3,"F",6,"0"
"Female","< 25","African-American",0,"M",8,"0"
"Female","< 25","Caucasian",2,"F",22,"1"
"Male","25 - 45","African-American",1,"M",0,"0"
"Male","25 - 45","African-American",0,"M",1,"0"
"Male","> 45","African-American",15,"F",1,"1"
"Male","< 25","African-American",4,"F",1,"1"
"Male","< 25","African-American",4,"F",2,"1"
"Male","25 - 45","Caucasian",3,"F",1,"1"
"Male","25 - 45","Caucasian",5,"M",1,"0"
"Male","25 - 45","Caucasian",1,"F",1,"0"
"Male","< 25","Caucasian",3,"F",9,"1"
"Male","25 - 45","African-American",0,"F",2,"0"
"Male","25 - 45","African-American",18,"F",0,"1"
"Female","25 - 45","Caucasian",0,"F",0,"1"
"Female","> 45","African-American",4,"F",1,"1"
"Female","> 45","Caucasian",0,"M",2,"1"
"Male","< 25","African-American",0,"F",1,"0"
"Female","< 25","African-American",0,"F",1,"0"
"Male","25 - 45","African-American",0,"F",3,"0"
"Male","< 25","Caucasian",1,"F",37,"1"
"Male","< 25","Caucasian",2,"F",27,"1"
"Male","25 - 45","Caucasian",3,"F",39,"1"
"Male","25 - 45","African-American",8,"F",2,"1"
"Female","25 - 45","African-American",10,"F",1,"0"
"Female","> 45","Caucasian",1,"F",1,"0"
"Male","< 25","African-American",4,"F",90,"0"
"Male","25 - 45","Caucasian",2,"F",5,"1"
"Male","25 - 45","African-American",0,"F",2,"1"
"Male","< 25","African-American",1,"F",1,"1"
"Female","25 - 45","African-American",9,"F",65,"1"
"Male","25 - 45","African-American",13,"F",2,"1"
"Male","25 - 45","Caucasian",1,"F",1,"1"
"Male","25 - 45","African-American",23,"F",55,"1"
"Male","> 45","African-American",20,"F",2,"0"
"Male","< 25","African-American",3,"F",1,"0"
"Male","25 - 45","African-American",1,"M",80,"1"
"Male","> 45","African-American",2,"M",5,"1"
"Male","25 - 45","African-American",0,"M",1,"0"
"Female","25 - 45","African-American",0,"F",1,"0"
"Male","> 45","Caucasian",1,"M",1,"0"
"Male","< 25","African-American",0,"F",1,"0"
"Male","25 - 45","African-American",11,"F",2,"0"
"Male","25 - 45","Caucasian",5,"F",22,"0"
"Female","25 - 45","African-American",0,"M",0,"0"
"Female","> 45","Caucasian",2,"F",29,"0"
"Male","25 - 45","African-American",0,"M",1,"0"
"Male","25 - 45","African-American",0,"M",1,"1"
"Male","> 45","African-American",17,"F",6,"1"
"Male","< 25","African-American",3,"F",323,"0"
"Female","25 - 45","Caucasian",0,"M",1,"0"
"Female","25 - 45","Caucasian",15,"F",3,"1"
"Male","< 25","African-American",2,"M",80,"1"
"Male","25 - 45","African-American",3,"F",1,"0"
"Male","> 45","Caucasian",3,"F",1,"1"
"Male","25 - 45","African-American",15,"F",20,"1"
"Female","25 - 45","African-American",2,"F",0,"0"
